  1.   49.14   49.73
  2.   49.40   49.39
  3.   49.38   49.50
  4.   49.08   49.60
  5.   49.72   50.04
  6.   49.09   49.82
  7.   49.13   49.96
  8.   49.58   49.94
  9.   49.37   49.78
 10.   49.40   49.78
 11.   49.22   50.14
 12.   49.23   49.43
 13.   49.40   50.25
 14.   49.01   50.15
 15.   49.11   49.96
 16.   49.53   50.18
 17.   50.52   50.44
 18.   49.37   50.84
 19.   49.08   50.92
 20.   49.30   50.41
 21.   49.31   50.45
 22.   49.93   50.23
 23.   50.10   50.16
 24.   49.61   50.15
 25.   49.59   50.47
 26.   50.00   50.43
 27.   50.14   50.51
 28.   49.67   50.49
 29.   49.96   50.62
 30.   49.86   50.28
 31.   49.85   50.35
 32.   50.05   50.47
 33.   49.64   49.86
 34.   49.86   50.06
 35.   49.88   50.35
 36.   49.49   50.00
 37.   49.85   50.55
 38.   49.68   50.08
 39.   49.88   50.01
 40.   49.79   50.57
 41.   49.62   50.25
 42.   49.89   50.07
 43.   49.62   50.15
 44.   49.63   50.23
 45.   49.43   49.81
 46.   49.68   49.15
 47.   50.07   49.62
 48.   49.40   49.66
 49.   49.37   49.44
 50.   49.21   49.39
 51.   49.40   49.41
 52.   49.46   49.50
 53.   50.05   49.56
 54.   50.14   49.44
 55.   50.00   50.00
 56.   50.01   49.62
 57.   50.21   50.43
 58.   50.26   50.33
 59.   50.39   50.32
 60.   50.14   50.37
 61.   50.22   49.66
