      x         r        z        B_phi      B_r     B_z
     0.00      2.50    -73.00      0.00   1380.50  43674.00
     0.00      2.50    -72.50      0.00   1469.90  43097.00
     0.00      2.50    -72.00      0.00   1553.60  42485.00
     0.00      2.50    -71.50      0.00   1631.30  41840.00
     0.00      2.50    -71.00      0.00   1702.80  41166.00
     0.00      2.50    -70.50      0.00   1768.00  40463.00
     0.00      2.50    -70.00      0.00   1826.70  39736.00
     0.00      2.50    -69.50      0.00   1878.90  38987.00
     0.00      2.50    -69.00      0.00   1924.50  38218.00
     0.00      3.00    -79.00      0.00      0.00  47340.00
     0.00      3.00    -78.50      0.00    153.01  47314.00
     0.00      3.00    -78.00      0.00    305.41  47236.00
     0.00      3.00    -77.50      0.00    456.58  47107.00
     0.00      3.00    -77.00      0.00    605.92  46926.00
     0.00      3.00    -76.50      0.00    752.83  46696.00
     0.00      3.00    -76.00      0.00    896.71  46416.00
     0.00      3.00    -75.50      0.00   1037.00  46088.00
     0.00      3.00    -75.00      0.00   1173.10  45712.00
     0.00      3.00    -74.50      0.00   1304.50  45292.00
     0.00      3.00    -74.00      0.00   1430.70  44828.00
     0.00      3.00    -73.50      0.00   1551.20  44322.00
     0.00      3.00    -73.00      0.00   1665.60  43776.00
     0.00      3.00    -72.50      0.00   1773.30  43193.00
     0.00      3.00    -72.00      0.00   1874.20  42574.00
     0.00      3.00    -71.50      0.00   1967.70  41923.00
     0.00      3.00    -71.00      0.00   2053.80  41241.00
     0.00      3.00    -70.50      0.00   2132.20  40531.00
     0.00      3.00    -70.00      0.00   2202.80  39797.00
     0.00      3.00    -69.50      0.00   2265.40  39040.00
     0.00      3.00    -69.00      0.00   2320.10  38264.00
     0.00      3.50    -79.00      0.00      0.00  47506.00
     0.00      3.50    -78.50      0.00    179.67  47480.00
     0.00      3.50    -78.00      0.00    358.62  47401.00
     0.00      3.50    -77.50      0.00    536.13  47270.00
     0.00      3.50    -77.00      0.00    711.50  47087.00
     0.00      3.50    -76.50      0.00    884.01  46854.00
     0.00      3.50    -76.00      0.00   1053.00  46570.00
     0.00      3.50    -75.50      0.00   1217.70  46238.00
     0.00      3.50    -75.00      0.00   1377.50  45858.00
     0.00      3.50    -74.50      0.00   1531.80  45432.00
     0.00      3.50    -74.00      0.00   1680.00  44962.00
     0.00      3.50    -73.50      0.00   1821.40  44449.00
     0.00      3.50    -73.00      0.00   1955.50  43897.00
     0.00      3.50    -72.50      0.00   2081.90  43306.00
     0.00      3.50    -72.00      0.00   2200.20  42680.00
     0.00      3.50    -71.50      0.00   2309.80  42020.00
     0.00      3.50    -71.00      0.00   2410.60  41330.00
     0.00      3.50    -70.50      0.00   2502.40  40612.00
     0.00      3.50    -70.00      0.00   2584.80  39869.00
     0.00      3.50    -69.50      0.00   2657.90  39104.00
     0.00      3.50    -69.00      0.00   2721.70  38319.00
     0.00      4.00    -79.00      0.00      0.00  47699.00
     0.00      4.00    -78.50      0.00    206.87  47673.00
     0.00      4.00    -78.00      0.00    412.91  47593.00
     0.00      4.00    -77.50      0.00    617.30  47460.00
     0.00      4.00    -77.00      0.00    819.22  47275.00
     0.00      4.00    -76.50      0.00   1017.90  47038.00
     0.00      4.00    -76.00      0.00   1212.40  46750.00
     0.00      4.00    -75.50      0.00   1402.10  46412.00
     0.00      4.00    -75.00      0.00   1586.10  46027.00
     0.00      4.00    -74.50      0.00   1763.70  45595.00
     0.00      4.00    -74.00      0.00   1934.20  45118.00
     0.00      4.00    -73.50      0.00   2097.00  44598.00
